Angle,Strain,Stress
50,0.8780267,25.76652
50,0.8780267,25.78837
50,0.8780267,25.82124
50,0.8780267,25.86733
50,0.8833869,25.89212
50,0.8833869,25.92241
50,0.8833869,25.95289
50,0.8888029,25.98246
50,0.8888029,26.00431
50,0.8888029,26.03956
50,0.8888029,26.07794
50,0.8888029,26.10621
50,0.8888029,26.14128
50,0.8940197,26.16974
50,0.8940197,26.20445
50,0.8940197,26.23713
50,0.8940197,26.26724
50,0.8995871,26.29626
50,0.8995871,26.33169
50,0.8995871,26.35795
50,0.9058234,26.39265
50,0.9058234,26.43397
50,0.9058234,26.46133
50,0.9058234,26.48887
50,0.9058234,26.51311
50,0.9058234,26.54359
50,0.9113668,26.58252
50,0.9113668,26.61648
50,0.9113668,26.6398
50,0.9113668,26.67506
50,0.9113668,26.69874
50,0.9164165,26.73198
50,0.9164165,26.77256
50,0.921705,26.80451
50,0.921705,26.82746
50,0.921705,26.85537
50,0.921705,26.89393
50,0.921705,26.9211
50,0.921705,26.9547
50,0.9264997,26.98775
50,0.9264997,27.02393
50,0.9264997,27.04725
50,0.9264997,27.0814
50,0.9264997,27.11298
50,0.9313502,27.1431
50,0.9313502,27.1666
50,0.9365113,27.19524
50,0.9365113,27.22113
50,0.9365113,27.24721
50,0.9365113,27.27916
50,0.9365113,27.31955
50,0.9365113,27.34856
50,0.9411468,27.3851
50,0.9411468,27.42164
50,0.9411468,27.45304
50,0.9411468,27.47654
50,0.946053,27.50519
50,0.946053,27.52887
50,0.946053,27.56137
50,0.9520345,27.59443
50,0.9520345,27.62766
50,0.9520345,27.65906
50,0.9520345,27.68329
50,0.9520345,27.71396
50,0.9520345,27.74315
50,0.9576257,27.77877
50,0.9576257,27.80264
50,0.9576257,27.84212
50,0.9576257,27.8715
50,0.9629781,27.90694
50,0.9629781,27.93136
50,0.9629781,27.95744
50,0.9685692,27.9881
50,0.9685692,28.02041
50,0.9685692,28.05034
50,0.9685692,28.08376
50,0.9685692,28.11461
50,0.9685692,28.14454
50,0.9734994,28.17575
50,0.9734994,28.20036
50,0.9734994,28.22992
50,0.9734994,28.25857
50,0.9783419,28.28666
50,0.9783419,28.32246
50,0.9783419,28.34945
50,0.9834791,28.37333
50,0.9834791,28.4084
50,0.9834791,28.4319
50,0.9834791,28.46697
50,0.9834791,28.49928
50,0.9834791,28.52922
50,0.9881942,28.55419
50,0.9881942,28.57512
50,0.9881942,28.61753
50,0.9881942,28.64563
50,0.9934191,28.67354
50,0.9934191,28.70365
50,0.9934191,28.73211
50,0.9993767,28.75837
50,0.9993767,28.78554
50,0.9993767,28.80831
50,0.9993767,28.83788
50,0.9993767,28.8757
50,0.9993767,28.90177
50,1.00492,28.92271
50,1.00492,28.96549
50,1.00492,29.00221
50,1.00492,29.02535
50,1.01024,29.05087
50,1.01024,29.08576
50,1.01024,29.11275
50,1.015258,29.13515
50,1.015258,29.16784
50,1.015258,29.19666
50,1.015258,29.2242
50,1.015258,29.2578
50,1.015258,29.29306
50,1.019264,29.31179
50,1.019264,29.34576
50,1.019264,29.37771
50,1.019264,29.40653
50,1.02378,29.42784
50,1.02378,29.46676
50,1.02378,29.49265
50,1.029085,29.51781
50,1.029085,29.54315
50,1.029085,29.58299
50,1.029085,29.61714
50,1.029085,29.62981
50,1.029085,29.66158
50,1.034111,29.69316
50,1.034111,29.71832
50,1.034111,29.74751
50,1.034111,29.78552
50,1.039789,29.81471
50,1.039789,29.83271
50,1.039789,29.86153
50,1.045373,29.89551
50,1.045373,29.92378
50,1.045373,29.94288
50,1.045373,29.97373
50,1.045373,30.00237
50,1.045373,30.03248
50,1.049881,30.06719
50,1.049881,30.09032
50,1.049881,30.1208
50,1.049881,30.15073
50,1.055201,30.16891
50,1.055201,30.20104
50,1.055201,30.23281
50,1.061382,30.26458
50,1.061382,30.28385
50,1.061382,30.31231
50,1.061382,30.3417
50,1.061382,30.36446
50,1.061382,30.3876
50,1.06663,30.42157
50,1.06663,30.45774
50,1.06663,30.48859
50,1.06663,30.50768
50,1.071624,30.53265
50,1.071624,30.5703
50,1.071624,30.60408
50,1.077072,30.6274
50,1.077072,30.65788
50,1.077072,30.68175
50,1.077072,30.70782
50,1.077072,30.73739
50,1.077072,30.7552
50,1.082488,30.78954
50,1.082488,30.82185
50,1.082488,30.83911
50,1.082488,30.86775
50,1.087641,30.88648
50,1.087641,30.91843
50,1.087641,30.95093
50,1.092739,30.97829
50,1.092739,30.99886
50,1.092739,31.03466
50,1.092739,31.06386
50,1.092739,31.08901
50,1.092739,31.11912
50,1.097589,31.15199
50,1.097589,31.17293
50,1.097589,31.19441
50,1.097589,31.22213
50,1.102296,31.24729
50,1.102296,31.26896
50,1.102296,31.29081
50,1.107083,31.32422
50,1.107083,31.35966
50,1.107083,31.39014
50,1.107083,31.41438
50,1.107083,31.43072
50,1.107083,31.4579
50,1.111798,31.48654
50,1.111798,31.51959
50,1.111798,31.54622
50,1.111798,31.57541
50,1.117214,31.60718
50,1.117214,31.63142
50,1.117214,31.65437
50,1.123108,31.67916
50,1.123108,31.70596
50,1.123108,31.72689
50,1.123108,31.76509
50,1.123108,31.80199
50,1.123108,31.81448
50,1.128197,31.84147
50,1.128197,31.86736
50,1.128197,31.89197
50,1.128197,31.91933
50,1.133088,31.94999
50,1.133088,31.98157
