Fill,Strain,Stress
60,0.1172597,0.8486008
60,0.1172597,0.8565962
60,0.1172597,0.8630791
60,0.1172597,0.8596216
60,0.1172597,0.8585411
60,0.1183548,0.8665366
60,0.1183548,0.8723711
60,0.1199702,0.8771252
60,0.1199702,0.8706424
60,0.1199702,0.8617825
60,0.1199702,0.8777735
60,0.1199702,0.8803666
60,0.1199702,0.888146
60,0.1216867,0.8820954
60,0.1216867,0.8810149
60,0.1216867,0.8842563
60,0.1216867,0.8887942
60,0.1232089,0.8954931
60,0.1232089,0.9015439
60,0.1232089,0.9032725
60,0.1232089,0.9052174
60,0.1245836,0.9069462
60,0.1245836,0.9097553
60,0.1245836,0.9175347
60,0.1245836,0.9160221
60,0.1245836,0.9188313
60,0.1259117,0.9162382
60,0.1259117,0.9093232
60,0.1259117,0.9145095
60,0.1259117,0.9142933
60,0.1275038,0.9199118
60,0.1275038,0.9285555
60,0.1275038,0.9320131
60,0.1290416,0.9397925
60,0.1290416,0.9281234
60,0.1290416,0.9287717
60,0.1290416,0.9313648
60,0.1290416,0.9328774
60,0.1290416,0.9376315
60,0.1304318,0.9367671
60,0.1304318,0.9421694
60,0.1304318,0.9493005
60,0.1304318,0.9542707
60,0.1319774,0.9495167
60,0.1319774,0.9415212
60,0.1319774,0.9505971
60,0.1329482,0.954919
60,0.1329482,0.9598892
60,0.1329482,0.9577282
60,0.1329482,0.9633467
60,0.1329482,0.9648593
60,0.1329482,0.9786894
60,0.1336317,0.973287
60,0.1336317,0.9752318
60,0.1336317,0.9784732
60,0.1336317,0.980202
60,0.1346957,0.9856043
60,0.1346957,0.9858205
60,0.1346957,0.9873331
60,0.1360781,0.9903584
60,0.1360781,0.98474
60,0.1360781,0.9825791
60,0.1360781,0.9879814
60,0.1360781,0.9983539
60,0.1360781,1.010455
60,0.1375072,1.002892
60,0.1375072,0.9974895
60,0.1375072,1.002892
60,0.1375072,1.004621
60,0.1388896,1.009375
60,0.1388896,1.012184
60,0.1388896,1.012832
60,0.1403342,1.010671
60,0.1403342,1.017802
60,0.1403342,1.027527
60,0.1403342,1.025149
60,0.1403342,1.019315
60,0.1403342,1.027094
60,0.141507,1.030984
60,0.141507,1.029039
60,0.141507,1.028607
60,0.141507,1.033145
60,0.141507,1.041357
60,0.1425399,1.042653
60,0.1425399,1.045462
60,0.143868,1.042005
60,0.143868,1.035738
60,0.143868,1.044598
60,0.143868,1.050216
60,0.143868,1.064047
60,0.143868,1.055187
60,0.1452971,1.055187
60,0.1452971,1.058428
60,0.1452971,1.075499
60,0.1452971,1.07658
60,0.1467416,1.069017
60,0.1467416,1.061453
60,0.1467416,1.066207
60,0.1482017,1.07269
60,0.1482017,1.070313
60,0.1482017,1.070313
60,0.1482017,1.070961
60,0.1482017,1.089762
60,0.1482017,1.09041
60,0.1493434,1.092139
60,0.1493434,1.087601
60,0.1493434,1.093651
60,0.1493434,1.083495
60,0.1500347,1.088681
60,0.1500347,1.097757
60,0.1509977,1.103592
60,0.1509977,1.102079
60,0.1509977,1.100999
60,0.1509977,1.105969
60,0.1509977,1.113532
60,0.1509977,1.120231
60,0.1509977,1.118286
60,0.1526287,1.118718
60,0.1526287,1.112019
60,0.1526287,1.111587
60,0.1526287,1.111371
60,0.1526287,1.120231
60,0.1543606,1.130819
60,0.1543606,1.134493
60,0.1559217,1.126498
60,0.1559217,1.134709
60,0.1559217,1.141192
60,0.1559217,1.14076
60,0.1559217,1.140328
60,0.1559217,1.14076
60,0.1574129,1.139679
60,0.1574129,1.140328
60,0.1574129,1.139247
60,0.1574129,1.148971
60,0.1585391,1.14962
60,0.1585391,1.152213
60,0.1585391,1.152861
60,0.1595099,1.159344
60,0.1595099,1.154806
60,0.1595099,1.164962
60,0.1595099,1.161721
60,0.1595099,1.154158
60,0.1595099,1.158696
60,0.1608768,1.166907
60,0.1608768,1.167988
60,0.1608768,1.170365
60,0.1608768,1.179657
60,0.1628184,1.177928
60,0.1628184,1.181386
60,0.1647057,1.188949
60,0.1647057,1.187868
60,0.1647057,1.18333
60,0.1647057,1.195432
60,0.1647057,1.202995
60,0.1647057,1.205372
60,0.1647057,1.204291
60,0.165894,1.202779
60,0.165894,1.202346
60,0.165894,1.207317
60,0.165894,1.215528
60,0.1667949,1.212935
60,0.1667949,1.212503
60,0.1667949,1.203211
60,0.1679987,1.21877
60,0.1679987,1.218121
60,0.1679987,1.220498
60,0.1679987,1.223091
60,0.1679987,1.226117
60,0.1679987,1.237786
60,0.169156,1.2326
60,0.169156,1.220931
60,0.169156,1.218554
60,0.169156,1.229358
60,0.1703598,1.230223
60,0.1703598,1.240379
60,0.1703598,1.246214
60,0.1720762,1.239083
60,0.1720762,1.239731
60,0.1720762,1.247078
60,0.1720762,1.25529
60,0.1720762,1.255938
60,0.1738159,1.257667
60,0.1738159,1.268903
60,0.1738159,1.264582
60,0.1738159,1.263933
60,0.1738159,1.267391
60,0.1753071,1.274522
60,0.1753071,1.275386
60,0.1765808,1.268903
60,0.1765808,1.274954
60,0.1765808,1.284894
60,0.1765808,1.282301
60,0.1765808,1.280789
60,0.1765808,1.282733
60,0.1765808,1.283814
60,0.1773808,1.280356
60,0.1773808,1.276683
60,0.1773808,1.283166
60,0.1773808,1.289432
60,0.1784681,1.283382
60,0.1784681,1.303262
60,0.1784681,1.302398
60,0.1802855,1.302614
60,0.1802855,1.302182
60,0.1802855,1.301966
60,0.1802855,1.30175
60,0.1802855,1.31169
60,0.1820096,1.313635
60,0.1820096,1.319469
60,0.1820096,1.324008
60,0.1820096,1.319685
60,0.1820096,1.318821
60,0.1833455,1.326384
60,0.1833455,1.323791
60,0.1833455,1.324008
60,0.1845493,1.335893
60,0.1845493,1.325736
60,0.1845493,1.327897
60,0.1845493,1.342808
60,0.1845493,1.34324
60,0.1857298,1.342592
60,0.1857298,1.338486
60,0.1857298,1.345401
60,0.1857298,1.344752
60,0.1857298,1.338053
60,0.1870579,1.346049
60,0.1870579,1.353828
60,0.1884481,1.355557
60,0.1884481,1.358582
60,0.1884481,1.34821
60,0.1884481,1.352748
60,0.1884481,1.356854
60,0.1884481,1.365065
60,0.1898927,1.375222
60,0.1898927,1.381056
60,0.1898927,1.371548
60,0.1898927,1.3709
60,0.1898927,1.37587
60,0.1913761,1.384298
60,0.1913761,1.386459
60,0.1913761,1.392077
60,0.1931236,1.394022
60,0.1931236,1.397263
60,0.1931236,1.405259
60,0.1931236,1.401585
60,0.1931236,1.392509
60,0.1949643,1.392509
60,0.1949643,1.397912
60,0.1949643,1.402449
60,0.1949643,1.401153
60,0.1949643,1.40353
60,0.1961681,1.418008
60,0.1961681,1.419737
60,0.1961681,1.41844
60,0.1971622,1.421034
60,0.1971622,1.413903
60,0.1971622,1.418657
60,0.1971622,1.423195
60,0.1971622,1.429245
60,0.1983971,1.426652
60,0.1983971,1.427733
60,0.1983971,1.430542
60,0.1983971,1.436376
60,0.2001601,1.437241
60,0.2001601,1.443291
60,0.2001601,1.440914
60,0.2021949,1.433783
60,0.2021949,1.434215
60,0.2021949,1.435728
60,0.2021949,1.450638
60,0.2021949,1.448045
60,0.2021949,1.449558
60,0.2035619,1.459714
60,0.2035619,1.461227
60,0.2035619,1.464685
60,0.2035619,1.473112
60,0.2035619,1.463388
60,0.2048822,1.457986
60,0.2048822,1.456905
60,0.206653,1.464901
60,0.206653,1.461443
60,0.206653,1.472464
60,0.206653,1.464468
60,0.206653,1.466845
60,0.206653,1.469655
60,0.2082529,1.473544
60,0.2082529,1.474409
60,0.2082529,1.486078
60,0.2082529,1.485646
60,0.2094334,1.494722
60,0.2094334,1.498179
60,0.2094334,1.493209
60,0.2103266,1.49926
60,0.2103266,1.501853
60,0.2103266,1.491264
60,0.2103266,1.497531
60,0.2103266,1.506175
60,0.2103266,1.518708
60,0.2108158,1.512009
60,0.2108158,1.512873
60,0.2108158,1.514602
60,0.2108158,1.514818
60,0.2117168,1.530593
60,0.2117168,1.527568
60,0.2117168,1.515899
60,0.2131924,1.524327
60,0.2131924,1.523678
60,0.2131924,1.521517
60,0.2131924,1.524327
60,0.2131924,1.528865
60,0.2131924,1.527784
60,0.2148933,1.522382
60,0.2148933,1.535996
60,0.2148933,1.550906
60,0.2148933,1.543775
60,0.2148933,1.543775
60,0.2166641,1.556957
60,0.2166641,1.558901
60,0.2181786,1.55955
60,0.2181786,1.566249
60,0.2181786,1.561711
60,0.2181786,1.558253
60,0.2181786,1.560414
60,0.2181786,1.569058
60,0.2196309,1.570138
60,0.2196309,1.568626
60,0.2196309,1.566033
60,0.2196309,1.568626
60,0.2211609,1.567977
60,0.2211609,1.575109
60,0.2211609,1.562791
60,0.2211609,1.573812
60,0.2226443,1.582456
60,0.2226443,1.589155
60,0.2226443,1.590451
60,0.2226443,1.590451
60,0.2226443,1.597582
60,0.2239724,1.60104
60,0.2239724,1.602552
60,0.2239724,1.60104
60,0.2239724,1.61487
